"FFMC" "temp" "RH" "wind" "area"
"50" 0.921 0.154 0.53 0.063 0.000129096024554051
"51" 0.901 0.129 0.74 0.049 0.000124031195159844
"52" 0.924 0.169 0.6 0.013 0.00013299424501362
"53" 0.916 0.227 0.35 0.022 0.000127173740486957
"54" 0.924 0.253 0.27 0.027 0.0001521766371874
"55" 0.921 0.204 0.42 0.049 0.000131630626320294
"56" 0.91 0.217 0.38 0.022 0.000134390982654757
"57" 0.943 0.21 0.44 0.045 0.000122626856461472
"58" 0.911 0.192 0.38 0.045 0.000115787577852411
"59" 0.932 0.302 0.25 0.045 0.000194735987677302
"60" 0.917 0.156 0.25 0.063 0.000113337030222404
"61" 0.901 0.106 0.3 0.04 0.000105773534490761
"62" 0.911 0.193 0.39 0.036 0.000123820680074206
"63" 0.903 0.103 0.78 0.04 0.000137711411418729
"64" 0.914 0.182 0.29 0.031 0.000108000683119403
"65" 0.928 0.216 0.27 0.022 0.000135994519078755
"66" 0.91 0.131 0.63 0.054 0.000140657959455812
"67" 0.934 0.286 0.27 0.022 0.000195460993437903
"68" 0.909 0.116 0.48 0.054 0.000111598534360918
"69" 0.925 0.203 0.45 0.031 0.000122638791928757
"70" 0.91 0.267 0.35 0.018 0.000171443319400606
"71" 0.917 0.168 0.45 0.045 0.000124438863160321
"72" 0.914 0.196 0.41 0.058 0.000124951184414986
"73" 0.893 0.115 0.39 0.058 0.000111892267469312
"74" 0.935 0.176 0.52 0.058 0.000128687632085957
"75" 0.917 0.17 0.27 0.049 0.000113449569074148
"76" 0.901 0.212 0.51 0.089 0.000118708316083247
"77" 0.902 0.215 0.34 0.022 0.000113183404166046
"78" 0.907 0.129 0.39 0.027 0.000134965771960694
"79" 0.901 0.183 0.45 0.022 0.000117764218358789
"80" 0.187 0.052 1 0.009 6.28780379215202e-05
"81" 0.916 0.204 0.41 0.018 0.000126505523902396
"82" 0.83 0.167 0.2 0.031 8.14563978564497e-05
"83" 0.924 0.196 0.33 0.063 0.000139001977708506
"84" 0.921 0.268 0.35 0.013 0.000170635116492837
"85" 0.911 0.231 0.31 0.031 0.000127516796798617
"86" 0.929 0.215 0.15 0.009 0.000131428263492347
"87" 0.859 0.137 0.43 0.058 8.04606134742898e-05
"88" 0.929 0.243 0.25 0.04 0.000155823264538943
"89" 0.911 0.207 0.46 0.027 0.000119467760505374
"90" 0.933 0.276 0.3 0.013 0.000181601516161396
"91" 0.95 0.306 0.28 0.036 0.00019829533214162
"92" 0.901 0.246 0.43 0.018 0.000133815526432973
"93" 0.893 0.055 0.59 0.063 0.000111892267469312
"94" 0.866 0.123 0.51 0.009 8.56505451490375e-05
"95" 0.849 0.191 0.32 0.04 0.000114761119683657
"96" 0.534 0.106 0.9 0.027 8.15924701597371e-05
"97" 0.951 0.206 0.58 0.013 0.000122054584205092
"98" 0.819 0.134 0.75 0.018 7.69095283677947e-05
"99" 0.893 0.106 0.46 0.049 0.000111892267469312
"100" 0.937 0.227 0.4 0.094 0.000133061123404155
"101" 0.896 0.171 0.53 0.054 0.000123597059451903
"102" 0.917 0.17 0.27 0.049 0.000113449569074148
"103" 0.948 0.164 0.47 0.013 0.000123834301083241
"104" 0.912 0.196 0.43 0.049 0.000119663414640719
"105" 0.876 0.09 0.49 0.022 9.18641851133828e-05
"106" 0.924 0.196 0.33 0.054 0.000139001977708506
"107" 0.882 0.143 0.79 0.04 9.78616986612395e-05
"108" 0.91 0.145 0.76 0.076 0.000140657959455812
"109" 0.904 0.207 0.25 0.049 0.000115848004445854
"110" 0.929 0.277 0.24 0.022 0.000185463577810716
"111" 0.926 0.154 0.35 0.009 0.000114214870506833
"112" 0.921 0.218 0.56 0.031 0.000132019917526895
"113" 0.934 0.152 0.19 0.076 0.000116275933410818
"114" 0.892 0.226 0.57 0.049 0.000125618260904976
"115" 0.91 0.139 0.59 0.063 0.000140657959455812
"116" 0.922 0.241 0.27 0.031 0.000138520876804655
"117" 0.904 0.143 0.46 0.018 0.00010640389001071
"118" 0.928 0.189 0.34 0.072 0.00014226149587981
"119" 0.903 0.178 0.63 0.049 0.000124204849443021
"120" 0.918 0.206 0.59 0.009 0.000128982682469355
"121" 0.816 0.278 0.32 0.027 0.000164105075773532
"122" 0.936 0.209 0.66 0.049 0.000145693182459214
"123" 0.928 0.193 0.38 0.04 0.000125730500011219
"124" 0.952 0.274 0.22 0.04 0.000180087971292329
"125" 0.924 0.19 0.34 0.058 0.000139001977708506
"126" 0.91 0.259 0.41 0.036 0.000166804843447167
"127" 0.916 0.242 0.32 0.018 0.0001346247603562
"128" 0.943 0.254 0.24 0.036 0.000152614476434228
"129" 0.889 0.293 0.27 0.036 0.000197562695735179
"130" 0.917 0.172 0.26 0.045 0.000112668813637843
"131" 0.901 0.154 0.57 0.045 0.000123362978575283
"132" 0.849 0.167 0.47 0.049 0.000117099877729622
"133" 0.91 0.138 0.77 0.076 0.000140657959455812
"134" 0.916 0.193 0.61 0.049 0.000126367315419886
"135" 0.935 0.237 0.32 0.058 0.000145232564590244
"136" 0.916 0.168 0.56 0.031 0.000136483182022528
"137" 0.912 0.223 0.48 0.04 0.000122647535671351
"138" 0.917 0.174 0.25 0.049 0.000113449569074148
"139" 0.961 0.333 0.26 0.027 0.000204123911351358
"140" 0.916 0.189 0.41 0.031 0.000119819267090669
"141" 0.916 0.213 0.44 0.045 0.000140578454923759
"142" 0.919 0.211 0.35 0.027 0.000130591504621629
"143" 0.886 0.206 0.37 0.018 0.000115793594650403
"144" 0.946 0.279 0.27 0.022 0.000190995406102423
"145" 0.946 0.179 0.48 0.027 0.000122744901921557
"146" 0.921 0.205 0.35 0.04 0.000129291868274329
"147" 0.916 0.243 0.3 0.018 0.000135612070121696
"148" 0.958 0.324 0.21 0.045 0.000204117602032588
"149" 0.948 0.186 0.51 0.045 0.000133197115373738
"150" 0.902 0.179 0.44 0.022 0.000111597212643621
"151" 0.928 0.216 0.28 0.063 0.00014226149587981
"152" 0.925 0.211 0.39 0.022 0.000136980624635167
"153" 0.816 0.212 0.7 0.067 0.000118738016553319
"154" 0.918 0.224 0.54 0.076 0.00014169132260341
"155" 0.93 0.264 0.35 0.027 0.000160961620178
"156" 0.841 0.147 0.42 0.027 7.37527753314781e-05
"157" 0.795 0.118 0.31 0.045 7.7088431664515e-05
"158" 0.881 0.149 0.38 0.027 8.30920626161175e-05
"159" 0.906 0.184 0.25 0.031 0.000118742446416132
"160" 0.921 0.201 0.58 0.045 0.000136115190428126
"161" 0.909 0.194 0.48 0.013 0.000130540101439166
"162" 0.916 0.204 0.56 0.022 0.000134979694707265
"163" 0.847 0.022 0.59 0.049 9.35524714768227e-05
"164" 0.918 0.237 0.4 0.018 0.000142857389583324
"165" 0.935 0.228 0.39 0.036 0.000142288233453135
"166" 0.929 0.219 0.35 0.018 0.000137201710240785
"167" 0.937 0.189 0.64 0.049 0.000145915508006759
"168" 0.917 0.174 0.24 0.054 0.000113449569074148
"169" 0.918 0.191 0.38 0.027 0.000120414296511383
"170" 0.916 0.23 0.34 0.022 0.000128911159042796
"171" 0.91 0.138 0.77 0.076 0.000140657959455812
"172" 0.896 0.18 0.4 0.04 0.000101315301252651
"173" 0.959 0.324 0.27 0.022 0.000199480903146101
"174" 0.924 0.186 0.24 0.058 0.000128137714247673
"175" 0.934 0.138 0.24 0.058 0.000116275933410818
"176" 0.933 0.186 0.49 0.036 0.000141351014601492
"177" 0.842 0.067 0.79 0.031 0.000103393665510818
"178" 0.921 0.184 0.45 0.036 0.000127955435105206
"179" 0.917 0.161 0.44 0.04 0.000122768321698917
"180" 0.912 0.158 0.27 0.076 0.000113391931357166
"181" 0.919 0.142 0.58 0.04 0.000118406691006719
"182" 0.917 0.152 0.27 0.049 0.000113449569074148
"183" 0.911 0.159 0.38 0.054 0.000140744786597401
"184" 0.914 0.201 0.39 0.054 0.000124951184414986
"185" 0.908 0.238 0.51 0.018 0.000126792361896373
"186" 0.916 0.243 0.33 0.036 0.000145160915302061
"187" 0.937 0.193 0.39 0.072 0.000124747308908488
"188" 0.923 0.222 0.29 0.054 0.000123715645678158
"189" 0.916 0.204 0.56 0.022 0.000134979694707265
"190" 0.948 0.25 0.36 0.04 0.00016629164165813
"191" 0.888 0.173 0.43 0.045 0.0001233520940884
"192" 0.948 0.275 0.27 0.049 0.000193313143841494
"193" 0.96 0.308 0.3 0.049 0.000206699814315795
"194" 0.875 0.223 0.46 0.04 0.000119708260509927
"195" 0.921 0.128 0.64 0.036 0.000125420833338964
"196" 0.921 0.208 0.35 0.049 0.000129096024554051
"197" 0.906 0.178 0.27 0.04 0.000121167177855959
"198" 0.854 0.051 0.24 0.085 9.35620112118545e-05
"199" 0.949 0.31 0.27 0.054 0.000201038842910806
"200" 0.888 0.144 0.66 0.054 0.000124020310672962
